id;name;area_id;area_name;salary_from;salary_to;salary_currency;url;employer_id;employer_name;snippet_requirement;snippet_responsibility;schedule_id;schedule_name;experience_id;experience_name
104350075;Product analyst (Gamedev);1;Москва;200000;250000;RUR;https://api.hh.ru/vacancies/104350075?host=hh.ru;9674611;FunFlow (ООО Мобильные Игровые Решения);Опыт написания <highlighttext>sql</highlighttext> запросов. Опыт проведения анализа данных в <highlighttext>Python</highlighttext>. Опыт в построении информативных визуализаций данных в системах визуализации. ;Предоставлять аналитические инструменты для команды продукта: подбирать метрики и аудитории для аналитики продукта. Создавать новые внутренние аналитические инструменты и развивать...;fullDay;Полный день;between1And3;От 1 года до 3 лет
104518902;Программист/разработчик 1C- стажер;4;Новосибирск;70000;;RUR;https://api.hh.ru/vacancies/104518902?host=hh.ru;3613391;Бахетле;Готовы рассматривать кандидатов с минимальным опытом работы, возможно без опыта работы, но с профильным образованием. Теоретическое и практическое знание типовых...;Поддержкой и сопровождением конфигураций 1С: УТ 11, 1С Астор Торговый дом 7. Выявлением и устранением ошибок в ПО...;fullDay;Полный день;noExperience;Нет опыта
104525779;QA Engineer;4;Новосибирск;80000;200000;RUR;https://api.hh.ru/vacancies/104525779?host=hh.ru;1881533;DataWorks;...или любой другой IDE, базовый уровень знания <highlighttext>языков</highlighttext> <highlighttext>C#</highlighttext>/<highlighttext>JavaScript</highlighttext>/<highlighttext>SQL</highlighttext>. Ориентироваться в технологиях .NET. Знание английского <highlighttext>языка</highlighttext> (уровень intermediate).;Тестировать наши десктопные приложения под Windows и веб-приложения. Проводить регрессионное тестирование. Вести переписку и составлять документацию на английском <highlighttext>языке</highlighttext>.;remote;Удаленная работа;between1And3;От 1 года до 3 лет
104654307;Программист микроконтроллеров;1;Москва;250000;278000;RUR;https://api.hh.ru/vacancies/104654307?host=hh.ru;22216;Никс;Знание и опыт программирования на <highlighttext>языках</highlighttext> С/<highlighttext>C++</highlighttext>. - Опыт разработки ПО для микроконтроллеров STM32 в среде разработки STM32...;Программист микроконтроллеров. - Понимаете устройства микроконтроллеров STM32 и их периферийных модулей на уровне работы с регистрами.;fullDay;Полный день;noExperience;Нет опыта
104725042;Python-разработчик (Python-программист)(01050-1);1;Москва;100000;;RUR;https://api.hh.ru/vacancies/104725042?host=hh.ru;179533;Моринформсистема-Агат, Концерн;Высшее образование специалитет / магистратура (готовы рассмотреть в том числе соискателя-студента магистратуры, специалитета). Знание системы и основных инструментов Git. ;Интерес к архитектуре приложений и построению распределенных сервисных систем. Работа по гибким методологиям разработки ПО с использованием программных продуктов Atlassian...;fullDay;Полный день;between1And3;От 1 года до 3 лет
104823092;Тестировщик ПО;1;Москва;140000;170000;RUR;https://api.hh.ru/vacancies/104823092?host=hh.ru;972961;Inline Telecom Solutions;Опыт программирования и знание <highlighttext>Python</highlighttext>. Опыт работы с фреймворками для автоматизации тестирования (Robot Framework/Pytest). Владение <highlighttext>SQL</highlighttext> запросами + знание...;Описывать ошибки в bug tracking-системах (используем Gitlab). Разрабатывать автотесты (используем <highlighttext>Python</highlighttext>, Pytest/Robot Framework, seleniumLibrary). Поддерживать инфраструктуру для тестирования...;fullDay;Полный день;between3And6;От 3 до 6 лет
104831802;Специалист по тестированию (Тестировщик ПО / QA Engineer);2088;Зеленоград;130000;130000;RUR;https://api.hh.ru/vacancies/104831802?host=hh.ru;4436571;Модум;Высшее профильное образование. Знание высокоуровневых <highlighttext>языков</highlighttext> программирования (<highlighttext>C++</highlighttext>, <highlighttext>C#</highlighttext> или <highlighttext>Java</highlighttext>-Gard). Умение читать и корректировать код, написанный другими людьми. ;Тестирование встраиваемого (embedded) ПО микроконтроллеров и смарт-карт. Создание алгоритмов, программ и сценариев автоматизированного тестирования ПО. Участие в разработке технической...;fullDay;Полный день;between1And3;От 1 года до 3 лет
104898393;Менеджер по продажам образовательных курсов;1;Москва;105000;;RUR;https://api.hh.ru/vacancies/104898393?host=hh.ru;1159470;MAXIMUM EDUCATION;Грамотная устная и письменная речь. Желание общаться с людьми, развиваться и зарабатывать. Опыт работы в продажаx будет плюсом. ;Звонить по готовой базе нашиx клиентов. Поток клиентов у нас круглый год. Назначать и проводить очные и онлайн-консультации по...;fullDay;Полный день;noExperience;Нет опыта
104925005;Frontend React Developer;1;Москва;;250000;RUR;https://api.hh.ru/vacancies/104925005?host=hh.ru;10232312;Протектор;Практический опыт работы с <highlighttext>JavaScript</highlighttext>, <highlighttext>Typescript</highlighttext>, React.js, любым из популярных стейт менеджеров - от 3х лет. Понимание архитектурных подходов, практический...;Разработка frontend-приложения на React.js, <highlighttext>Typescript</highlighttext>. Участие в принятии технических и архитектурных решений. Участие в планировании спринтов, оценке и декомпозиции...;remote;Удаленная работа;between3And6;От 3 до 6 лет
105230768;Контент-администратор информационной системы;2;Санкт-Петербург;90496;111850;RUR;https://api.hh.ru/vacancies/105230768?host=hh.ru;218800;Петербургский Метрополитен, государственное унитарное предприятие;Уверенный пользователь ПК. Отличное знание Word, Exсel, PowerPoint. Приветствуется знание <highlighttext>PHP</highlighttext>, <highlighttext>Js</highlighttext>, JQuery. Наличие сертификатов о прохождение курсов. ;Осуществлять контроль за текстовым наполнением ВКП, постоянным обновлением информации. Ежемесячно составлять отчеты об изменениях, внесенных в структуру ВКП, причинах данных...;fullDay;Полный день;between1And3;От 1 года до 3 лет
105510906;Младший тестировщик ПО / Junior QA Engineer;76;Ростов-на-Дону;40000;;RUR;https://api.hh.ru/vacancies/105510906?host=hh.ru;8327;TrueConf;Понимание методологии и принципов тестирования ПО. Знание общих принципов организации разработки ПО. Желание учиться чему-то новому каждый день. ;Тестирования приложений для видеоконференцсвязи на различных платформах (Windows, Linux, MacOS, iOS, Android). Тестирование web-приложений. Кроссплатформенное и кроссбраузерное тестирование. ;fullDay;Полный день;noExperience;Нет опыта
105634989;Стажер-аналитик;96;Ижевск;40000;75000;RUR;https://api.hh.ru/vacancies/105634989?host=hh.ru;1115346;Крит;Высшее образование. Базовый уровень <highlighttext>SQL</highlighttext>. Готовность к выполнению отборочных заданий. Для участия в зарубежных проектах - знание английского <highlighttext>языка</highlighttext> на уровне...;Мы предлагаем работу на крупных проектах у федеральных заказчиков – Росатом, Газпром, Роснефть, ЕВРАЗ, Лента, Теле2 и др. ;fullDay;Полный день;noExperience;Нет опыта
105874260;Тестировщик / QA;1;Москва;;214000;RUR;https://api.hh.ru/vacancies/105874260?host=hh.ru;1978012;ВижнЛабс (VisionLabs);Опыт работы с GNU/linux-подобными операционными системами. Опыт разработки автотестов на <highlighttext>js</highlighttext> (Cypress). Навыки работы с любым Issue Tracker. ;Проведение e2e, функционального, регрессивного тестирования web-приложений (frontend). Создание, запуск и мониторинг автотестов, участие в ревью. ;fullDay;Полный день;between3And6;От 3 до 6 лет
105880015;Ручной тестировщик/Manual QA Engineer;2;Санкт-Петербург;120000;;RUR;https://api.hh.ru/vacancies/105880015?host=hh.ru;1092665;Филиал в г. Санкт-Петербург АО Концерн Радиостроения Вега;Базово владеете <highlighttext>Python</highlighttext> и готовы развиваться в автоматизированное тестирование. <highlighttext>Python</highlighttext>, Pytest, Nose. REST, Swagger. Django, Flask, FastAPI. Redis, RabbitMQ, Mongo...;Подготовка тестовых планов и тест-кейсов. Поддержание в актуальном состоянии тестовой документации. Ручное тестирование backend/frontend в рамках микросервисной архитектуры. ;fullDay;Полный день;between1And3;От 1 года до 3 лет
105917286;HTML-верстальщик / Junior Frontend-разработчик;104;Челябинск;45000;;RUR;https://api.hh.ru/vacancies/105917286?host=hh.ru;1503819;Цифровой элемент;Уверенные знания <highlighttext>JS</highlighttext> (ES6+). Понимание основ взаимодействия между клиентом и сервером. Умение писать валидную, семантически верную HTML5...;...и адаптивную верстку макетов из Figma и программирование функционала на <highlighttext>JS</highlighttext> с использованием современных стандартов ES. Поддерживать уже существующие проекты...;fullDay;Полный день;noExperience;Нет опыта
106079188;Системный администратор;17;Белгород;;80000;RUR;https://api.hh.ru/vacancies/106079188?host=hh.ru;206813;Агро-Белогорье Торговый Дом;Администрирование почтового сервера (Postfix, Dovecot). Знание и практические навыки работы <highlighttext>c</highlighttext> антивирусной защитой. Знание и опыт работы с сетевым оборудованием...;Администрирование серверного оборудования и ПО. Модернизация и развитие серверной инфраструктуры. Организация комплексной защиты информации и обеспечения информационной безопасности, предупреждения несанкционированного...;fullDay;Полный день;between3And6;От 3 до 6 лет
106172637;Разработчик банковского ПО (junior);104;Челябинск;115000;;RUR;https://api.hh.ru/vacancies/106172637?host=hh.ru;1203065;ЧЕЛЯБИНВЕСТБАНК;Знания методологий разработки программного обеспечения. Владение одним или несколькими <highlighttext>языками</highlighttext> программирования (<highlighttext>Java</highlighttext>, <highlighttext>C#</highlighttext>, <highlighttext>Python</highlighttext>, <highlighttext>C++</highlighttext> и т.п.). ;...разработке ПО в рамках новых проектов. Сопровождение существующих модулей информационной системы Банка на <highlighttext>языках</highlighttext> Alaska xBase++, <highlighttext>Java</highlighttext>, <highlighttext>C#</highlighttext>, <highlighttext>C++</highlighttext>, <highlighttext>SQL</highlighttext>.;fullDay;Полный день;between1And3;От 1 года до 3 лет
106338795;Инженер-тестировщик;49;Киров (Кировская область);;150000;RUR;https://api.hh.ru/vacancies/106338795?host=hh.ru;1451447;НПП Знак;Желательные: Опыт составления тест-кейсов. Опыт работы с БД, знание <highlighttext>SQL</highlighttext> (написание простых запросов). Опыт работы с Git. ;Ручное тестирование desktop - приложений (функциональное, комплексное). Совместная работа с разработчиками ПО по детализации и выявлению причины дефектов. Заполнение баг-трекера...;fullDay;Полный день;between1And3;От 1 года до 3 лет
106433935;Педагог дополнительного образования ДТ;4;Новосибирск;55000;;RUR;https://api.hh.ru/vacancies/106433935?host=hh.ru;2947238;Государственное автономное учреждение дополнительного образования Новосибирской области Областной центр развития творчества детей и юношества;IT/VR. Владение навыками программирования на С/<highlighttext>С++</highlighttext>,<highlighttext>Python</highlighttext>, <highlighttext>JavaScript</highlighttext> и др., опыт разработки систем на основе программируемых микроконтроллеров, опыт...;проведение занятий и мастер-классов по направлению «Информационные технологии (IT)», согласно учебной программе. - сопровождение проектов детских команд. - разработка рабочие учебные...;fullDay;Полный день;between1And3;От 1 года до 3 лет
106501890;Администратор/Менеджер по работе с клиентами гимнастического центра (Бутово);1;Москва;95000;110000;RUR;https://api.hh.ru/vacancies/106501890?host=hh.ru;763391;Европейский Гимнастический Центр;Ты инициативный и пунктуальный, с грамотной устной и письменной речью — умеешь находить общий <highlighttext>язык</highlighttext> с любым клиентом. Ты внимателен к...;Встреча клиентов и презентация Центра: Приветливая встреча посетителей, создание для них комфортной атмосферы и информирование о наших услугах и возможностях. ;shift;Сменный график;between1And3;От 1 года до 3 лет
106519513;Техническая поддержка пользователей;53;Краснодар;40000;50000;RUR;https://api.hh.ru/vacancies/106519513?host=hh.ru;4019652;Бронируй Онлайн;...как общаться с клиентами. - Опыт преподавания: ты умеешь объяснять сложные вещи простым <highlighttext>языком</highlighttext>. - Знание, понимаем что такое: CSS, <highlighttext>SQL</highlighttext>, DevTools.;Обучать новых клиентов: делиться знаниями о наших продуктах и помогать им стать уверенными пользователями.;fullDay;Полный день;noExperience;Нет опыта
